SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2,Predicted_Label
49.66,0.9,17.43,9.82,5.21,6.25,0.31,0.07,5.95,0.1198147402,Trachybasalt
47.16,3.2,16.73,11.82,8.04,4.72,0.2,0.9099999999999999,5.56,0.1178965225,Trachybasalt
57.28,0.3500000000000001,16.95,5.32,6.76,3.71,0.03,0.07,7.23,0.126222067,Trachyandesite
79.56,0.26,11.13,0.5300000000000002,0.9199999999999999,0.4500000000000002,0.09,0.07,6.69,0.08408748115,Rhyolite
66.53,0.48,15.14,4.45,2.51,0.5899999999999999,0.15,0.10999999999999999,7.24,0.1088230873,Dacite
51.23,0.59,13.31,4.11,6.38,2.99,0.07,0.08000000000000002,8.73,0.1781686102,Phonotephrite
41.8,3.5,12.45,10.74,12.07,10.99,0.18,0.73,4.15,0.09928229665,Basanite
62.77,1.19,17.47,4.48,1.88,0.6799999999999997,0.06000000000000001,0.19000000000000003,8.98,0.1430619723,Trachydacite
42.62,2.38,10.26,13.65,8.77,19.33,0.3,0.08000000000000002,0.2400000000000002,0.005631159080000003,Picrobasalt
66.78,0.9,17.21,4.38,4.97,2.35,0.03,0.26,1.67,0.025007487270000003,Dacite
54.62,0.48,13.95,2.16,11.38,1.94,0.06000000000000001,0.020000000000000018,13.38,0.2449652142,Phonolite
43.84,1.58,7.55,12.52,7.46,23.559999999999995,0.17,0.15,1.5099999999999998,0.034443430659999996,Picrobasalt
60.08,1.03,16.23,5.47,3.5899999999999994,0.6899999999999995,0.09,0.31,9.94,0.1654460719,Trachydacite
47.6,1.01,16.55,7.86,10.72,4.88,0.16,0.84,8.94,0.1878151261,Phonotephrite
47.62,0.47,13.91,5.52,7.25,3.46,0.03,0.03999999999999998,8.74,0.2265625,Phonotephrite
