SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
63.52,0.59,16.72,3.68,1.42,1.58,0.03,0.16,8.97,0.1412153652
67.63,0.42,14.65,6.12,1.04,1.22,0.05,0.08,8.79,0.129971906
62.53,1.465,15.63,4.43,4.24,2.24,0.076,0.793,8.6,0.1375339837
68.418,0.92,13.524,4.23,2.01,0.552,0.079,0.276,8.239,0.1204215265
65.56,1.42,14.53,4.8,3.26,1.33,0.08,0.5,8,0.1220256254
66.675,0.724,15.021,4.34,2.982,1.059,0.098,0.294,8.163,0.1224296963
66.1,0.67,16.82,3.76,2.14,0.97,0.08,0.17,8.88,0.1343419062
63.35,0.86,16.31,5.37,3.68,1.56,0.2,0.35,7.73,0.1220205209
64.91,0.37,15.55,5.49,3.27,2.46,0.05,0.12,7.78,0.1198582653
64.61,1.14,14.18,6.87,3.11,1.88,0.13,0.48,7.59,0.1174740752
65.18,0.54,15.69,3.64,2.66,1.6,0.06,0.15,8.12,0.1245780914
65.71,0.43,17.3,4.1,0.92,0.3,0.03,0.07,10.36,0.1576624562
67.5,0.46,13.5,6.68,1.91,0.13,0.21,0.08,9.51,0.1408888889
62.08,1.19,14.95,6.42,2.83,0.7,0.11,0.32,8.41,0.1354703608
62.65,1.28,16.62,5.23,1.77,1.01,0.03,0.17,8.61,0.1374301676
65.63,0.85,14.14,6.26,2.87,0.81,0.18,0.2,7.92,0.1206765199
68.522,0.68,13.302,4.636,1.928,0.514,0.151,0.268,8.526,0.1244271913
67.22,0.6,15.75,3.84,1.22,0.47,0.04,0.1,9.55,0.1420708123
62.7,0.96,16.66,4.94,4.19,1.51,0.08,0.47,7.54,0.1202551834
67.722,0.275,16.012,3.36,2.241,0.379,0.04,0.127,8.068,0.1191341071
65.12,0.38,16.62,2.97,2.44,0.41,0.09,0.16,9.26,0.1421990172
64.6,0.82,15.2,3.44,1.84,1.18,0.07,0.26,9.65,0.149380805
67.02,0.06,20.05,0.36,3.45,0.01,0,0,10.2,0.1521933751
63.06,1.21,13.6,7.89,3.71,1.08,0.17,0.34,7.34,0.1163970821
